eqtl_db	eqtl_source	B-cell_naive	CD4_T-cell_naive	CD8_T-cell_naive	monocyte_naive
BLUEPRINT	monocyte	0	0	0	1
BLUEPRINT	neutrophil	0	0	0	0
BLUEPRINT	T-cell	0	1	1	0
GENCORD	LCL	1	0	0	0
GENCORD	T-cell	0	1	1	0
GTEx	blood	1	1	1	1
GTEx	LCL	1	0	0	0
GTEx	pancreas	0	0	0	0
Lepik_2017	blood	1	1	1	1
Quach_2016	monocyte_IAV	0	0	0	1
Quach_2016	monocyte_LPS	0	0	0	1
Quach_2016	monocyte_naive	0	0	0	1
Quach_2016	monocyte_Pam3CSK4	0	0	0	1
Quach_2016	monocyte_R848	0	0	0	1
Schmiedel_2018	B-cell_naive	1	0	0	0
Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	0	1	0	0
Schmiedel_2018	CD4_T-cell_naive	0	1	0	0
Schmiedel_2018	CD8_T-cell_anti-CD3-CD28	0	0	1	0
Schmiedel_2018	CD8_T-cell_naive	0	0	1	0
Schmiedel_2018	monocyte_CD16_naive	0	0	0	1
Schmiedel_2018	monocyte_naive	0	0	0	1
Schmiedel_2018	NK-cell_naive	0	0	0	0
Schmiedel_2018	Tfh_memory	0	1	0	0
Schmiedel_2018	Th1-17_memory	0	1	0	0
Schmiedel_2018	Th17_memory	0	1	0	0
Schmiedel_2018	Th1_memory	0	1	0	0
Schmiedel_2018	Th2_memory	0	1	0	0
Schmiedel_2018	Treg_memory	0	1	0	0
Schmiedel_2018	Treg_naive	0	1	0	0
van_de_Bunt_2015	pancreatic_islet	0	0	0	0
ImmuNexUT	Naive_CD4	0	1	0	0
ImmuNexUT	Mem_CD4	0	1	0	0
ImmuNexUT	Th1	0	0	1	0
ImmuNexUT	Th2	0	0	1	0
ImmuNexUT	Th17	0	0	1	0
ImmuNexUT	Fr_I_nTreg	0	0	1	0
ImmuNexUT	Fr_II_eTreg	0	0	1	0
ImmuNexUT	Fr_III_T	0	0	1	0
ImmuNexUT	Tfh	0	0	1	0
ImmuNexUT	Naive_CD8	0	0	1	0
ImmuNexUT	CM_CD8	0	0	1	0
ImmuNexUT	EM_CD8	0	0	1	0
ImmuNexUT	Mem_CD8	0	0	1	0
ImmuNexUT	TEMRA_CD8	0	0	1	0
ImmuNexUT	Naive_B	1	0	0	0
ImmuNexUT	USM_B	1	0	0	0
ImmuNexUT	SM_B	1	0	0	0
ImmuNexUT	DN_B	1	0	0	0
ImmuNexUT	Plasmablast	1	0	0	0
ImmuNexUT	CD16p_Mono	0	0	0	1
ImmuNexUT	NC_Mono	0	0	0	1
ImmuNexUT	Int_Mono	0	0	0	1
ImmuNexUT	CL_Mono	0	0	0	1
ImmuNexUT	mDC	0	0	0	0
ImmuNexUT	pDC	0	0	0	0
ImmuNexUT	Neu	0	0	0	0
ImmuNexUT	LDG	0	0	0	0
ImmuNexUT	NK	0	0	0	0
Bossini-Castillo_2019	Treg_naive	0	1	1	0
